coin,fundingRate,premium,time
kNEIRO,1.25e-05,0.00017367,2024-10-25 16:00:00.147000+00:00
GOAT,7.618e-05,0.0011094,2024-10-25 16:00:00.147000+00:00
MOODENG,0.00010191,0.00131525,2024-10-25 16:00:00.147000+00:00
BTC,1.25e-05,-0.00032637,2024-10-25 17:00:00.023000+00:00
ETH,1.25e-05,-0.00031432,2024-10-25 17:00:00.023000+00:00
ATOM,1.25e-05,0.00023092,2024-10-25 17:00:00.023000+00:00
MATIC,0.0,0.0,2024-10-25 17:00:00.023000+00:00
DYDX,1.25e-05,-3.108e-05,2024-10-25 17:00:00.023000+00:00
SOL,1.25e-05,0.00028783,2024-10-25 17:00:00.023000+00:00
AVAX,7.06e-06,-0.00044353,2024-10-25 17:00:00.023000+00:00
BNB,-2.588e-05,-0.00070703,2024-10-25 17:00:00.023000+00:00
APE,1.25e-05,0.00021675,2024-10-25 17:00:00.023000+00:00
OP,1.25e-05,-0.00029154,2024-10-25 17:00:00.023000+00:00
LTC,1.25e-05,-3.047e-05,2024-10-25 17:00:00.023000+00:00
ARB,1.25e-05,-0.00031327,2024-10-25 17:00:00.023000+00:00
DOGE,1.25e-05,0.00018591,2024-10-25 17:00:00.023000+00:00
INJ,1.25e-05,4.113e-05,2024-10-25 17:00:00.023000+00:00
SUI,1.25e-05,-0.00031869,2024-10-25 17:00:00.023000+00:00
kPEPE,1.25e-05,-0.00036423,2024-10-25 17:00:00.023000+00:00
CRV,1.25e-05,1.23e-06,2024-10-25 17:00:00.023000+00:00
LDO,1.25e-05,2.86e-06,2024-10-25 17:00:00.023000+00:00
LINK,1.25e-05,0.00040204,2024-10-25 17:00:00.023000+00:00
STX,1.25e-05,0.00016673,2024-10-25 17:00:00.023000+00:00
RNDR,0.0,0.0,2024-10-25 17:00:00.023000+00:00
CFX,1.25e-05,-3.262e-05,2024-10-25 17:00:00.023000+00:00
FTM,1.25e-05,0.00037316,2024-10-25 17:00:00.023000+00:00
GMX,1.25e-05,-2.528e-05,2024-10-25 17:00:00.023000+00:00
